model,region,scenario_baseline,scenario_delayed,npv_baseline,npv_delayed,npv_change,npv_change_relative,base_year,discount_rate,carbonintensity_g_per_kwh
IMAGE 3.0,BRA,EN_INDCi2100,EN_INDCi2030_800f,-2023515846.8301756,-443031582881.2127,-441008067034.3825,217.94149412035432,2020,0.05,880
IMAGE 3.0,CAN,EN_INDCi2100,EN_INDCi2030_800f,11988347502.782326,-36128594032.53406,-48116941535.31638,-4.0136425411549945,2020,0.05,880
IMAGE 3.0,CHN,EN_INDCi2100,EN_INDCi2030_800f,5395700270333.206,-5071682127269.76,-10467382397602.965,-1.9399488246511813,2020,0.05,880
IMAGE 3.0,EU,EN_INDCi2100,EN_INDCi2030_800f,972109848206.7468,-2555586215094.96,-3527696063301.707,-3.6289068255087176,2020,0.05,880
IMAGE 3.0,IDN,EN_INDCi2100,EN_INDCi2030_800f,-629633325140.0284,-1298633913280.2896,-669000588140.2611,1.0625241095545213,2020,0.05,880
IMAGE 3.0,IND,EN_INDCi2100,EN_INDCi2030_800f,2984892546076.2393,-4328494932315.4966,-7313387478391.736,-2.450134256258396,2020,0.05,880
IMAGE 3.0,JPN,EN_INDCi2100,EN_INDCi2030_800f,299026582866.5586,-435610462663.1787,-734637045529.7373,-2.456761664756645,2020,0.05,880
IMAGE 3.0,MEX,EN_INDCi2100,EN_INDCi2030_800f,187682653451.36597,-320812326169.74493,-508494979621.1109,-2.7093339222896096,2020,0.05,880
IMAGE 3.0,RUS,EN_INDCi2100,EN_INDCi2030_800f,193670155987.64594,-955544372806.3472,-1149214528793.9932,-5.933875164882402,2020,0.05,880
IMAGE 3.0,TUR,EN_INDCi2100,EN_INDCi2030_800f,143337729441.19614,-67618583207.34023,-210956312648.53638,-1.4717430886546905,2020,0.05,880
IMAGE 3.0,USA,EN_INDCi2100,EN_INDCi2030_800f,552954171762.1476,-152233412092.04846,-705187583854.196,-1.2753092749204022,2020,0.05,880
IMAGE 3.0,ZAF,EN_INDCi2100,EN_INDCi2030_800f,200407515137.8715,-294607482923.3229,-495014998061.19434,-2.470042092586428,2020,0.05,880
POLES ENGAGE,ARG,EN_INDCi2100,EN_INDCi2030_800f,17339251030.688137,-96395497457.73706,-113734748488.4252,-6.559380695690375,2020,0.05,880
POLES ENGAGE,AUS,EN_INDCi2100,EN_INDCi2030_800f,188537055973.54587,-10336396763.933828,-198873452737.4797,-1.0548242185630827,2020,0.05,880
POLES ENGAGE,BRA,EN_INDCi2100,EN_INDCi2030_800f,57358561069.75794,-120698133500.2964,-178056694570.05435,-3.104274083052861,2020,0.05,880
POLES ENGAGE,CAN,EN_INDCi2100,EN_INDCi2030_800f,11574786707.479872,-36916045403.14185,-48490832110.62173,-4.189349949687274,2020,0.05,880
POLES ENGAGE,CHN,EN_INDCi2100,EN_INDCi2030_800f,6263710416889.45,-3600838463299.8794,-9864548880189.33,-1.5748730742070371,2020,0.05,880
POLES ENGAGE,EU,EN_INDCi2100,EN_INDCi2030_800f,1212790865333.3467,-3210845808803.336,-4423636674136.683,-3.6474851522902965,2020,0.05,880
POLES ENGAGE,IDN,EN_INDCi2100,EN_INDCi2030_800f,97860811700.56659,-532981888862.37946,-630842700562.946,-6.446326058414388,2020,0.05,880
POLES ENGAGE,IND,EN_INDCi2100,EN_INDCi2030_800f,1742931985832.4763,-8623179443886.895,-10366111429719.371,-5.94751345088673,2020,0.05,880
POLES ENGAGE,JPN,EN_INDCi2100,EN_INDCi2030_800f,571680031271.3898,-53139053690.83635,-624819084962.2261,-1.092952439798636,2020,0.05,880
POLES ENGAGE,KOR,EN_INDCi2100,EN_INDCi2030_800f,139750933148.04004,-742037937867.196,-881788871015.2361,-6.309717231591901,2020,0.05,880
POLES ENGAGE,MEX,EN_INDCi2100,EN_INDCi2030_800f,34159277969.56862,-406027015546.4966,-440186293516.0652,-12.886287992041657,2020,0.05,880
POLES ENGAGE,RUS,EN_INDCi2100,EN_INDCi2030_800f,68228168971.08194,-990266562271.9019,-1058494731242.9838,-15.514042765703119,2020,0.05,880
POLES ENGAGE,SAU,EN_INDCi2100,EN_INDCi2030_800f,4073293881.760522,-153881061483.8662,-157954355365.62674,-38.77804056145273,2020,0.05,880
POLES ENGAGE,TUR,EN_INDCi2100,EN_INDCi2030_800f,157803852114.17722,-63021921712.57869,-220825773826.75592,-1.3993687154542964,2020,0.05,880
POLES ENGAGE,USA,EN_INDCi2100,EN_INDCi2030_800f,526376648912.0311,-1293506947905.4834,-1819883596817.5146,-3.457379047074059,2020,0.05,880
POLES ENGAGE,ZAF,EN_INDCi2100,EN_INDCi2030_800f,140777129047.6995,-66317198932.71698,-207094327980.41647,-1.4710793534526956,2020,0.05,880
REMIND-MAgPIE 2.1-4.2,CHN,EN_INDCi2100,EN_INDCi2030_800f,1915382723739.797,1574553022303.4778,-340829701436.31934,-0.1779433933552701,2020,0.05,880
REMIND-MAgPIE 2.1-4.2,EU,EN_INDCi2100,EN_INDCi2030_800f,66762163516.92609,64856986901.29436,-1905176615.6317291,-0.02853677165732823,2020,0.05,880
REMIND-MAgPIE 2.1-4.2,IND,EN_INDCi2100,EN_INDCi2030_800f,813910009649.4928,412888924991.3231,-401021084658.1697,-0.4927093657821801,2020,0.05,880
REMIND-MAgPIE 2.1-4.2,JPN,EN_INDCi2100,EN_INDCi2030_800f,114645254654.05806,75366432259.88261,-39278822394.175446,-0.342611846540873,2020,0.05,880
REMIND-MAgPIE 2.1-4.2,RUS,EN_INDCi2100,EN_INDCi2030_800f,115702177302.88895,67122719368.70618,-48579457934.18277,-0.419866411044365,2020,0.05,880
REMIND-MAgPIE 2.1-4.2,USA,EN_INDCi2100,EN_INDCi2030_800f,30664145444.88182,29813343264.744175,-850802180.1376457,-0.027745830441188894,2020,0.05,880
